2026-09-02 12:51:24 | INFO     | reporting |   Macro Recall       : 0.4433
2026-09-02 12:51:24 | INFO     | reporting |   Macro F1           : 0.4097
2026-09-02 12:51:24 | INFO     | reporting |   Weighted Precision : 0.4901
2026-09-02 12:51:24 | INFO     | reporting |   Weighted Recall    : 0.5896
2026-09-02 12:51:24 | INFO     | reporting |   Weighted F1        : 0.5167
2026-09-02 12:51:24 | INFO     | reporting |   MAE                : 0.5666
2026-09-02 12:51:24 | INFO     | reporting |   QWK                : 0.6899
2026-09-02 12:51:24 | INFO     | reporting |   KL0 Recall         : 0.8780
2026-09-02 12:51:24 | INFO     | reporting |   KL1 Recall         : 0.0000
2026-09-02 12:51:24 | INFO     | reporting |   KL1 F1             : 0.0000
2026-09-02 12:51:24 | INFO     | reporting |   KL2 Recall         : 0.5943
2026-09-02 12:51:24 | INFO     | reporting |   Boundary Error Counts:
2026-09-02 12:51:24 | INFO     | reporting |     KL1 -> KL0       : 109
2026-09-02 12:51:24 | INFO     | reporting |     KL1 -> KL2       : 40
2026-09-02 12:51:24 | INFO     | reporting |     KL0 -> KL1       : 0
2026-09-02 12:51:24 | INFO     | reporting |     KL2 -> KL1       : 0
2026-09-02 12:51:24 | INFO     | reporting |   FGBF Diagnostics (Auxiliary Head):
2026-09-02 12:51:24 | INFO     | reporting |     FGBF Low-Grade Acc : 0.6248
2026-09-02 12:51:24 | INFO     | reporting |     KL0 Prec/Rec/F1    : 0.6220 / 0.8780 / 0.7282
2026-09-02 12:51:24 | INFO     | reporting |     KL1 Prec/Rec/F1    : 0.4444 / 0.0523 / 0.0936
2026-09-02 12:51:24 | INFO     | reporting |     KL2 Prec/Rec/F1    : 0.6462 / 0.6462 / 0.6462
2026-09-02 12:51:24 | INFO     | reporting |     FGBF Boundary Errors:
2026-09-02 12:51:24 | INFO     | reporting |       KL1 -> KL0       : 105
2026-09-02 12:51:24 | INFO     | reporting |       KL1 -> KL2       : 40
2026-09-02 12:51:24 | INFO     | reporting |   ------------------------------------------------
2026-09-02 12:51:24 | INFO     | reporting | TEST
2026-09-02 12:51:24 | INFO     | reporting |   Overall Accuracy   : 0.5851
2026-09-02 12:51:24 | INFO     | reporting |   Macro Precision    : 0.5451
2026-09-02 12:51:24 | INFO     | reporting |   Macro Recall       : 0.4232
2026-09-02 12:51:24 | INFO     | reporting |   Macro F1           : 0.3992
2026-09-02 12:51:24 | INFO     | reporting |   Weighted Precision : 0.4894
2026-09-02 12:51:24 | INFO     | reporting |   Weighted Recall    : 0.5851
2026-09-02 12:51:24 | INFO     | reporting |   Weighted F1        : 0.5135
2026-09-02 12:51:24 | INFO     | reporting |   MAE                : 0.5731
2026-09-02 12:51:24 | INFO     | reporting |   QWK                : 0.6795
2026-09-02 12:51:24 | INFO     | reporting |   KL0 Recall         : 0.9045
2026-09-02 12:51:24 | INFO     | reporting |   KL1 Recall         : 0.0000
2026-09-02 12:51:24 | INFO     | reporting |   KL1 F1             : 0.0000
2026-09-02 12:51:24 | INFO     | reporting |   KL2 Recall         : 0.5996
2026-09-02 12:51:24 | INFO     | reporting |   Boundary Error Counts:
2026-09-02 12:51:24 | INFO     | reporting |     KL1 -> KL0       : 206
2026-09-02 12:51:24 | INFO     | reporting |     KL1 -> KL2       : 85
2026-09-02 12:51:24 | INFO     | reporting |     KL0 -> KL1       : 0
2026-09-02 12:51:24 | INFO     | reporting |     KL2 -> KL1       : 0
2026-09-02 12:51:24 | INFO     | reporting |   FGBF Diagnostics (Auxiliary Head):
2026-09-02 12:51:24 | INFO     | reporting |     FGBF Low-Grade Acc : 0.6375
2026-09-02 12:51:24 | INFO     | reporting |     KL0 Prec/Rec/F1    : 0.6215 / 0.9045 / 0.7368
2026-09-02 12:51:24 | INFO     | reporting |     KL1 Prec/Rec/F1    : 0.2812 / 0.0304 / 0.0549
2026-09-02 12:51:24 | INFO     | reporting |     KL2 Prec/Rec/F1    : 0.7000 / 0.6577 / 0.6782
2026-09-02 12:51:24 | INFO     | reporting |     FGBF Boundary Errors:
2026-09-02 12:51:24 | INFO     | reporting |       KL1 -> KL0       : 207
2026-09-02 12:51:24 | INFO     | reporting |       KL1 -> KL2       : 80
2026-09-02 12:51:24 | INFO     | reporting | ====================================================
